"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0400000US45","South Carolina","4955925","*****","3332986","3149","1339360","3139","16686","993","75084","1271","3004","495","78597","3449","110208","3416","11089","1191","99119","3213"
"0400000US46","South Dakota","864289","*****","730062","1118","16241","749","75331","1181","12660","479","293","100","6613","838","23089","1583","1193","332","21896","1586"
"0400000US47","Tennessee","6651089","*****","5166231","4033","1117489","3465","17848","1114","112915","1485","3806","507","90666","3580","142134","4315","11728","1163","130406","3720"
"0400000US48","Texas","27885195","*****","20720689","22200","3365783","6566","136061","4902","1308257","4903","23672","1173","1600234","19669","730499","12865","152824","6421","577675","9863"
"0400000US49","Utah","3045350","*****","2632056","4656","35862","1234","32657","1333","69810","1343","27096","1005","157990","4563","89879","2754","14964","1376","74915","2579"
"0400000US50","Vermont","624977","*****","589546","414","8058","414","2106","297","10579","406","184","80","2426","363","12078","686","388","127","11690","677"
"0400000US51","Virginia","8413774","*****","5722660","6402","1613285","5365","22972","1339","531503","3435","5677","516","208464","6457","309213","6030","33041","2400","276172","5534"
"0400000US54","West Virginia","1829054","*****","1704345","1292","66728","1188","3668","480","14534","605","350","123","7290","1039","32139","1259","2028","414","30111","1204"
"0400000US53","Washington","7294336","*****","5545997","7711","269854","3222","95048","2502","607429","3029","48043","1180","311170","7412","416795","5515","40641","2309","376154","4690"
"0400000US55","Wisconsin","5778394","*****","4945966","3694","368744","1986","50422","1200","159356","1317","1975","408","115941","3545","135990","3587","16414","1235","119576","3065"
"0400000US56","Wyoming","581836","*****","532008","1465","5540","605","14053","786","4756","498","539","272","9361","1161","15579","1072","1748","349","13831","978"
"0400000US72","Puerto Rico","3386941","*****","2283720","9541","365010","6294","8504","1171","6684","892","303","268","547254","8302","175466","4871","16160","1365","159306","4615"
"0400000US01","Alabama","4864680","*****","3317453","3345","1293186","2745","25576","1335","64609","1251","2182","546","70055","3631","91619","3331","7079","878","84540","3190"
"0400000US02","Alaska","738516","*****","478834","1368","24129","834","106660","1515","46556","1030","8849","485","11027","1329","62461","1816","3474","548","58987","1783"
"0400000US04","Arizona","6946685","*****","5364141","9871","305259","2794","309580","3307","228887","2442","14112","625","471823","7938","252883","5372","50168","2420","202715","4439"
"0400000US05","Arkansas","2990671","*****","2302874","2783","460970","1946","20037","1190","43988","1091","7969","639","78981","3353","75852","2749","7323","922","68529","2276"
"0400000US06","California","39148760","*****","23529068","26419","2267875","8045","296475","5495","5604339","8962","153366","2473","5415410","34695","1882227","23736","405831","10151","1476396","17502"
"0400000US08","Colorado","5531141","*****","4655584","5852","227938","2446","54483","1913","172695","1886","8296","516","214817","5320","197328","4702","34311","1886","163017","4099"
"0400000US09","Connecticut","3581504","*****","2734880","5407","378262","2718","9698","1118","158817","1472","1173","278","185244","5550","113430","3456","24904","1542","88526","3157"
"0400000US10","Delaware","949495","*****","654905","2245","209892","1374","3455","484","36723","727","477","296","18034","1832","26009","1486","2578","445","23431","1462"
"0400000US11","District of Columbia","684498","*****","280469","1909","321317","1354","1993","506","26718","625","340","84","33518","2126","20143","1273","2631","550","17512","1116"
"0400000US12","Florida","20598139","*****","15529098","12322","3316376","7779","58118","2307","559168","3104","12887","996","580152","11223","542340","11178","92522","4414","449818","9480"
"0400000US13","Georgia","10297484","*****","6079976","5699","3239300","4425","33484","2337","402501","2387","6095","876","283680","6101","252448","6325","35861","2251","216587","5900"
"0400000US16","Idaho","1687809","*****","1527262","3055","11536","783","22790","984","23758","953","2761","373","53110","2814","46592","2061","6908","921","39684","1823"
"0400000US15","Hawaii","1422029","*****","355612","2242","26266","843","2987","403","536842","4385","143274","2359","15292","1556","341756","5321","9805","894","331951","5225"
"0400000US17","Illinois","12821497","*****","9189185","10813","1824125","3784","31864","1950","690822","2967","4582","524","762506","11030","318413","6286","62866","3175","255547","5507"
"0400000US18","Indiana","6637426","*****","5548277","4235","619472","3479","14925","950","144991","1837","2818","405","144648","3966","162295","4571","20887","1486","141408","4207"
"0400000US19","Iowa","3132499","*****","2827889","2111","109911","1742","11549","771","75083","1149","3129","343","39168","1921","65770","2303","5130","663","60640","2126"
"0400000US20","Kansas","2908776","*****","2460619","3181","169801","2013","24050","1027","83531","1270","2143","326","67588","3099","101044","2762","9398","962","91646","2631"
"0400000US21","Kentucky","4440204","*****","3866676","2869","354112","2532","9888","729","62802","1141","2814","435","44086","2832","99826","2847","8026","819","91800","2701"
"0400000US22","Louisiana","4663616","*****","2901106","2870","1502916","2800","26272","1010","79872","1239","1468","276","60419","2797","91563","3183","8858","1056","82705","3204"
"0400000US23","Maine","1332813","*****","1259217","624","17881","741","8302","527","14917","527","318","106","2970","447","29208","981","1297","328","27911","945"
"0400000US24","Maryland","6003435","*****","3373181","5515","1788090","3569","15644","1187","374277","2285","3059","505","249815","5991","199369","4415","23951","1670","175418","3966"
"0400000US25","Massachusetts","6830193","*****","5360006","7315","510558","4376","14493","1150","442574","2114","2329","440","284740","7372","215493","5035","33401","2008","182092","4993"
"0400000US26","Michigan","9957488","*****","7818588","4309","1375424","3571","53235","1794","304403","1918","2979","372","119141","4383","283718","5010","25580","1526","258138","4648"
